Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.04     0.00      304     0.00     0.00  std::__array_traits<unsigned int (rf::LuaGlueBitstream::*)(int), 1ul>::_S_ref(unsigned int (rf::LuaGlueBitstream::* const (&) [1])(int), unsigned long)
  0.00      0.04     0.00      304     0.00     0.00  std::array<unsigned int (rf::LuaGlueBitstream::*)(int), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00      302     0.00     0.00  rf::LuaGlueBitstream::look_byte(int)
  0.00      0.04     0.00      302     0.00     0.00  rf::Bitstream::look_byte(int, unsigned int&)
  0.00      0.04     0.00      302     0.00     0.00  rf::Bitstream::read_byte(int, unsigned int&)
  0.00      0.04     0.00      302     0.00     0.00  rf::LuaBinder::invoker<unsigned int (rf::LuaGlueBitstream::*)(int), rf::LuaBinder::intetgral_sequence<unsigned long, 2ul>, void>::apply(lua_State*)
  0.00      0.04     0.00      293     0.00     0.00  rf::Bitstream::seekpos(int, int)
  0.00      0.04     0.00      233     0.00     0.00  std::__array_traits<int (rf::LuaGlueBitstream::*)(char const*, int, bool), 1ul>::_S_ref(int (rf::LuaGlueBitstream::* const (&) [1])(char const*, int, bool), unsigned long)
  0.00      0.04     0.00      233     0.00     0.00  std::array<int (rf::LuaGlueBitstream::*)(char const*, int, bool), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00      232     0.00     0.04  rf::LuaGlueBitstream::find_byte_string(char const*, int, bool)
  0.00      0.04     0.00      232     0.00     0.00  rf::Bitstream::seekpos_byte(int)
  0.00      0.04     0.00      232     0.00     0.04  rf::Bitstream::find_byte_string(char const*, int, int&, bool)
  0.00      0.04     0.00      232     0.00     0.04  rf::LuaBinder::invoker<int (rf::LuaGlueBitstream::*)(char const*, int, bool), rf::LuaBinder::intetgral_sequence<unsigned long, 2ul, 3ul, 4ul>, void>::apply(lua_State*)
  0.00      0.04     0.00      159     0.00     0.00  rf::LuaGlueBitstream::read_byte(char const*, int)
  0.00      0.04     0.00      126     0.00     0.00  rf::LuaGlueBitstream::size()
  0.00      0.04     0.00      126     0.00     0.00  rf::Bitstream::size() const
  0.00      0.04     0.00      120     0.00     0.00  rf::LuaGlueBitstream::compare_byte(char const*, int, unsigned int)
  0.00      0.04     0.00      114     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      0.04     0.00      114     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      0.04     0.00      114     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      0.04     0.00      114     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      0.04     0.00      111     0.00     0.00  std::__array_traits<bool (rf::LuaGlueBitstream::*)(char const*, rf::LuaGlueBitstream&, int, bool), 1ul>::_S_ref(bool (rf::LuaGlueBitstream::* const (&) [1])(char const*, rf::LuaGlueBitstream&, int, bool), unsigned long)
  0.00      0.04     0.00      111     0.00     0.00  std::array<bool (rf::LuaGlueBitstream::*)(char const*, rf::LuaGlueBitstream&, int, bool), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00      110     0.00     0.00  rf::LuaGlueBitstream::transfer_byte(char const*, rf::LuaGlueBitstream&, int, bool)
  0.00      0.04     0.00      110     0.00     0.00  rf::LuaGlueBitstream::write_byte_string(char const*, int)
  0.00      0.04     0.00      110     0.00     0.00  rf::Bitstream::write_byte_string(char const*, int)
  0.00      0.04     0.00      110     0.00     0.00  rf::LuaBinder::invoker<bool (rf::LuaGlueBitstream::*)(char const*, rf::LuaGlueBitstream&, int, bool), rf::LuaBinder::intetgral_sequence<unsigned long, 2ul, 3ul, 4ul, 5ul>, void>::apply(lua_State*)
  0.00      0.04     0.00      110     0.00     0.00  rf::LuaGlueBitstream& rf::LuaBinder::get_stack<rf::LuaGlueBitstream&>(lua_State*, int, std::enable_if<!rf::LuaBinder::is_basic_type<rf::LuaGlueBitstream&>::value, void>::type*)
  0.00      0.04     0.00       91     0.00     0.00  rf::LuaGlueBitstream::seekoff_bit(int)
  0.00      0.04     0.00       91     0.00     0.00  int const& std::min<int>(int const&, int const&)
  0.00      0.04     0.00       88     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::string>::base() const
  0.00      0.04     0.00       71     0.00     0.00  std::__detail::_Scanner<char>::_M_get_token() const
  0.00      0.04     0.00       71     0.00     0.00  std::__detail::_Compiler<std::regex_traits<char> >::_M_match_token(std::__detail::_ScannerBase::_TokenT)
  0.00      0.04     0.00       63     0.00     0.00  std::__array_traits<bool (rf::LuaGlueBitstream::*)(int, int), 1ul>::_S_ref(bool (rf::LuaGlueBitstream::* const (&) [1])(int, int), unsigned long)
  0.00      0.04     0.00       63     0.00     0.00  std::array<bool (rf::LuaGlueBitstream::*)(int, int), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00       63     0.00     0.00  std::remove_reference<bool (*&)(std::_Any_data const&, char)>::type&& std::move<bool (*&)(std::_Any_data const&, char)>(bool (*&)(std::_Any_data const&, char))
  0.00      0.04     0.00       63     0.00     0.00  std::remove_reference<bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>::type&& std::move<bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)>(bool (*&)(std::_Any_data&, std::_Any_data const&, std::_Manager_operation))
  0.00      0.04     0.00       63     0.00     0.00  std::remove_reference<std::_Any_data&>::type&& std::move<std::_Any_data&>(std::_Any_data&)
  0.00      0.04     0.00       61     0.00     0.00  rf::LuaGlueBitstream::seekpos(int, int)
  0.00      0.04     0.00       61     0.00     0.00  rf::LuaBinder::invoker<bool (rf::LuaGlueBitstream::*)(int, int), rf::LuaBinder::intetgral_sequence<unsigned long, 2ul, 3ul>, void>::apply(lua_State*)
  0.00      0.04     0.00       61     0.00     0.00  std::__detail::_RegexTranslator<std::regex_traits<char>, false, false>::_M_translate(char) const
  0.00      0.04     0.00       60     0.00     0.00  std::vector<std::__detail::_State<std::regex_traits<char> >, std::allocator<std::__detail::_State<std::regex_traits<char> > > >::operator[](unsigned long) const
  0.00      0.04     0.00       52     0.00     0.00  char&& std::forward<char>(std::remove_reference<char>::type&)
  0.00      0.04     0.00       48     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.04     0.00       46     0.00     0.00  std::_Function_base::_Function_base()
  0.00      0.04     0.00       46     0.00     0.00  std::_Function_base::~_Function_base()
  0.00      0.04     0.00       46     0.00     0.00  std::unary_function<char, bool>::unary_function()
